id,empresa_id,entity,json_column,key,type,required,description,default_value,list_values,created_at
50714b54-9d74-4fb5-96cb-afb94a016a38,1,actividad_economica,detalle_actividad,tiene_negocio_propio,boolean,false,Indica si tiene negocio propio,false,,2025-08-18 00:06:31.559519+00
5222c255-18b8-4a86-b579-560b9bb9dcb9,1,solicitudes,detalle_credito,tipo_credito_id,string,true,ID del tipo de crédito (uuid),,,2025-08-18 00:06:31.559519+00
5a72fce8-ed39-4e61-b346-2a2fe3f22a55,1,informacion_financiera,detalle_financiera,ingreso_variable_mensual,number,false,Ingreso variable mensual,0,,2025-08-18 00:06:31.559519+00
61e2a51f-154e-47db-bdd4-1aedb225fcf4,1,referencias,detalle_referencia,telefono,string,true,Teléfono de la referencia,,,2025-08-18 00:06:31.559519+00
6d24cd25-b73b-4431-a3e5-bcb49b410529,1,solicitudes,detalle_credito,plazo_meses,integer,true,Plazo en meses,0,,2025-08-18 00:06:31.559519+00
6e0d5378-fe52-403b-8f44-71365e837588,1,actividad_economica,detalle_actividad,direccion_empresa,string,false,Dirección de la empresa,,,2025-08-18 00:06:31.559519+00
719b696c-f55f-49e0-b9da-d9f199d2b490,1,solicitudes,detalle_credito,destino_credito,array,false,Destino del crédito,,"{""enum"":[""vehiculo"",""libre_inversion"",""consolidacion_deudas"",""otro""]}",2025-08-18 00:06:31.559519+00
79020807-4b7f-42b5-bb1d-e6dd446b74f7,1,ubicacion,detalle_direccion,id_autenticacion,string,false,Identificador/autenticación de domicilio,,,2025-08-18 00:06:31.559519+00
819e33ed-b7f1-44ba-9e77-6050e515b32a,1,actividad_economica,detalle_actividad,ciudad_negocio,string,false,Ciudad del negocio,,,2025-08-18 00:06:31.559519+00
82771efd-68a1-4dcc-a6ba-ca2c280a78f4,1,referencias,detalle_referencia,direccion,string,false,Dirección de la referencia,,,2025-08-18 00:06:31.559519+00
8855a1dd-fb64-42e5-a55e-43f1f64b955d,1,solicitudes,detalle_credito,segundo_titular,object,false,Segundo titular (si aplica),,"{""object_structure"":[{""key"":""nombres"",""type"":""string"",""required"":false},{""key"":""documento"",""type"":""string"",""required"":false}]}",2025-08-18 00:06:31.559519+00
